handicapped,water,adoption_budget,physician,el_salavador,religious,anti_satellite,nicaraguan,mx_missile,immigration,synfuels,education,superfund,crime,duty_free,export,party
1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,0
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,1
1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,0
1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1
-1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,1
-1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,1
-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1
1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1
-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,0,1
1,-1,1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
-1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,0,0
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,0,1,1,1
1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,1
1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
1,-1,1,-1,1,1,-1,0,0,-1,1,0,0,0,1,1,1
-1,-1,0,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1
1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1
1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,0
1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1
1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1
1,-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,0,1
1,-1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,1,0,-1,1
0,0,0,0,-1,1,1,1,1,1,0,-1,1,1,-1,0,1
1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,0,1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
-1,0,1,-1,0,0,1,1,1,1,0,0,-1,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1
1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,0,0,1,1,1,-1,-1,-1,1,-1,1,1,1,0,1,0
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,0
1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1,0
-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1
-1,0,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1
0,0,1,-1,-1,-1,1,1,0,-1,0,0,0,0,0,0,1
1,0,1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,1,0,1
-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,0
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,0
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0
-1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1
-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1
1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,0
-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1,0
-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,0
0,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1
-1,0,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,0,1
-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,0,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,0
-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1
1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
1,1,0,1,1,1,-1,-1,1,-1,1,0,1,1,-1,-1,1
-1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1
-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1,0
1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,0,0,0,0,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,0,-1,0,1
-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1
-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1
-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1
-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,0
1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,1
-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,0,1
1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,0
1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,0
-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1
1,-1,1,-1,-1,-1,0,1,1,0,-1,-1,-1,-1,1,0,1
-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,1
-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1
-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,0
-1,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,1,1
0,-1,1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1
0,0,1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,0,0,1
-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,1
-1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
1,0,-1,1,1,1,1,1,-1,-1,-1,1,0,1,0,0,0
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,0
-1,1,-1,1,1,1,-1,0,-1,1,-1,1,1,1,-1,0,0
-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,-1,1,-1,-1,1,1,0,1,1,1,-1,-1,-1,1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0,0
-1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,0,1
-1,0,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0
-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,0,-1,1,0,1
1,1,-1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,0,1
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1
-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,0
1,0,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1,1
1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1
-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,1
1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,1
1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,0,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
1,0,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,0,1
-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,1
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,1
-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,0
-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1,0
-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1,0
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,0
-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,0,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,0,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,0
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,0,1
-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,0
-1,-1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,1,0
1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1
-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,-1,1,1,1,0
-1,1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,1,1,1
1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1,1
-1,1,-1,1,1,1,0,-1,-1,-1,-1,0,1,1,-1,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,1
-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0
-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1,0
-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,0,1,1,1,-1,0,0,-1,0,0,0,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,0
1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,0
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,1,1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,-1,1,1
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,0,1
-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1,0
1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1,0
-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,0
-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1,0
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1
1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0,0
1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1,0
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,1,1
-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1
-1,-1,1,-1,-1,1,0,1,0,1,1,1,-1,1,1,0,1
1,1,1,0,-1,1,1,1,1,-1,1,-1,1,-1,0,1,1
1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1
1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0,1
1,-1,1,-1,0,1,0,1,1,1,-1,-1,1,1,-1,1,1
1,-1,1,-1,-1,1,1,1,1,1,-1,0,-1,1,-1,1,1
1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1
1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1
-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,0,1
-1,1,-1,1,1,1,0,0,-1,1,-1,1,0,0,0,0,0
-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,0
1,1,1,-1,-1,1,1,1,1,1,-1,-1,0,-1,1,0,1
-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1
-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1,0
-1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,0
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,0
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0
1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,0,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1,0
-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1
-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,0
-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,0
-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,1,0,0
-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1,1
1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1
1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1
1,1,1,-1,0,1,-1,0,-1,-1,1,-1,1,1,-1,0,1
1,1,1,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,0,1
-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,0
-1,1,-1,-1,1,1,-1,-1,0,-1,-1,1,1,1,-1,1,1
1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1
-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,0
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1
1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0,1
-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,0
1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,1
1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0,1
-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1
-1,1,1,-1,-1,1,1,1,0,-1,1,1,-1,-1,1,1,1
-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0,0
